system,topic,rank,score
azimiv_wk1,13,7,0
azimiv_wk1,14,1,0.1
azimiv_wk1,14,2,0.08
azimiv_wk1,14,3,0
azimiv_wk1,14,4,0
azimiv_wk1,14,5,0
azimiv_wk1,14,6,0
azimiv_wk1,14,7,0.0262144
azimiv_wk1,15,1,0
azimiv_wk1,15,2,0
azimiv_wk1,15,3,0.128
azimiv_wk1,15,4,0
azimiv_wk1,15,5,0
azimiv_wk1,15,6,0.032768
azimiv_wk1,15,7,0
azimiv_wk1,16,1,0
azimiv_wk1,16,2,0.08
azimiv_wk1,16,3,0
azimiv_wk1,16,4,0
azimiv_wk1,16,5,0.04096
azimiv_wk1,16,6,0.065536
azimiv_wk1,16,7,0
azimiv_wk1,17,1,0.2
azimiv_wk1,17,2,0.16
azimiv_wk1,17,3,0.064
azimiv_wk1,17,4,0.1024
azimiv_wk1,17,5,0.08192
azimiv_wk1,17,6,0.065536
azimiv_wk1,17,7,0.0524288
azimiv_wk1,18,1,0.2
azimiv_wk1,18,2,0.08
azimiv_wk1,18,3,0.128
azimiv_wk1,18,4,0.0512
azimiv_wk1,18,5,0
azimiv_wk1,18,6,0.032768
azimiv_wk1,18,7,0.0262144
azimiv_wk1,19,1,0
azimiv_wk1,19,2,0
azimiv_wk1,19,3,0
azimiv_wk1,19,4,0
azimiv_wk1,19,5,0
azimiv_wk1,19,6,0
azimiv_wk1,19,7,0.0262144
azimiv_wk1,20,1,0.2
azimiv_wk1,20,2,0
azimiv_wk1,20,3,0
azimiv_wk1,20,4,0.1024
azimiv_wk1,20,5,0.08192
azimiv_wk1,20,6,0
azimiv_wk1,20,7,0
azimiv_wk1,21,1,0.2
azimiv_wk1,21,2,0.16
azimiv_wk1,21,3,0.128
azimiv_wk1,21,4,0.1024
azimiv_wk1,21,5,0.08192
azimiv_wk1,21,6,0.065536
azimiv_wk1,21,7,0.0524288
azimiv_wk1,22,1,0.2
azimiv_wk1,22,2,0
azimiv_wk1,22,3,0.064
azimiv_wk1,22,4,0.1024
azimiv_wk1,22,5,0
azimiv_wk1,22,6,0.065536
azimiv_wk1,22,7,0.0524288
