system,topic,score
Conv_KNRM,2,0.5
Conv_KNRM,3,0.5
Conv_KNRM,4,0
Conv_KNRM,5,0.6251
Conv_KNRM,6,0.1333
Conv_KNRM,7,0.25
Conv_KNRM,8,0.2502
Conv_KNRM,9,0.1406
Conv_KNRM,10,0.9767
Conv_KNRM,11,0.0313
Conv_KNRM,12,0.127
Conv_KNRM,13,0.2501
Conv_KNRM,14,0.4405
Conv_KNRM,15,0.9395
Conv_KNRM,16,0.0794
Conv_KNRM,17,0.5313
Conv_KNRM,18,0.5986
Conv_KNRM,19,0.0315
Conv_KNRM,20,0.001
Conv_KNRM,21,0.2656
Conv_KNRM,22,0.3751
Conv_KNRM,23,0.5046
Conv_KNRM,24,0.3784
Conv_KNRM,25,0.1289
Conv_KNRM,26,0.502
Conv_KNRM,27,0.5636
Conv_KNRM,28,0.7906
Conv_KNRM,29,0.8834
Conv_KNRM,30,0.9524
DA_IICT_all,1,0.125
DA_IICT_all,2,0.6253
DA_IICT_all,3,0
DA_IICT_all,4,1e-04
DA_IICT_all,5,0.0078
DA_IICT_all,6,0.5081
DA_IICT_all,7,0.5314
DA_IICT_all,8,0.8956
DA_IICT_all,9,0.1646
DA_IICT_all,10,0.2026
DA_IICT_all,11,0.0163
DA_IICT_all,12,0.1941
DA_IICT_all,13,0.0654
DA_IICT_all,14,0.2496
DA_IICT_all,15,0.5
DA_IICT_all,16,0
DA_IICT_all,17,0
DA_IICT_all,18,0.9641
DA_IICT_all,19,0.001
DA_IICT_all,20,0.9841
DA_IICT_all,21,0.1426
DA_IICT_all,22,0.48
DA_IICT_all,23,0.2126
DA_IICT_all,24,0.1096
DA_IICT_all,25,0.9359
DA_IICT_all,26,0.4402
DA_IICT_all,27,0.9329
DA_IICT_all,28,0.9599
DA_IICT_all,29,0.8785
DA_IICT_all,30,0.9921
IRIT_marked_base,1,0.8477
IRIT_marked_base,2,0.7903
IRIT_marked_base,3,0.6802
IRIT_marked_base,4,0.9942
IRIT_marked_base,5,0.9991
IRIT_marked_base,6,0.9905
IRIT_marked_base,7,0.8044
IRIT_marked_base,8,0.8838
IRIT_marked_base,9,0.9727
IRIT_marked_base,10,0.371
IRIT_marked_base,11,0.8125
IRIT_marked_base,12,0.9307
IRIT_marked_base,13,0.9955
IRIT_marked_base,14,0.0312
IRIT_marked_base,15,2e-04
IRIT_marked_base,16,0.9993
IRIT_marked_base,17,0.8995
IRIT_marked_base,18,0.9591
IRIT_marked_base,19,0.2969
IRIT_marked_base,20,0.9915
IRIT_marked_base,21,0.5059
IRIT_marked_base,22,0.9744
IRIT_marked_base,23,0.1272
IRIT_marked_base,24,0.8717
IRIT_marked_base,25,0.9439
IRIT_marked_base,26,0.9956
IRIT_marked_base,27,0.7894
IRIT_marked_base,28,0.9989
IRIT_marked_base,29,0.9997
IRIT_marked_base,30,0.9275
IRIT_marked_mu_pair,1,0.8321
IRIT_marked_mu_pair,2,0.9771
IRIT_marked_mu_pair,3,0.4218
IRIT_marked_mu_pair,4,0.9722
IRIT_marked_mu_pair,5,0.8657
IRIT_marked_mu_pair,6,0.812
IRIT_marked_mu_pair,7,0.4634
IRIT_marked_mu_pair,8,0.46
IRIT_marked_mu_pair,9,0.9844
IRIT_marked_mu_pair,10,0.9375
IRIT_marked_mu_pair,11,0.5052
IRIT_marked_mu_pair,12,0.9388
IRIT_marked_mu_pair,13,0.9089
IRIT_marked_mu_pair,14,0.5
